,police-firefighter,police-neighbors(yours),police-conservatives(political),police-liberals(political),police-healthcare,police-voting,police-immigration,police-religion,police-science,police-anger,police-fear,police-joy,police-love,police-sadness,police-trust,firefighter-neighbors(yours),firefighter-conservatives(political),firefighter-liberals(political),firefighter-healthcare,firefighter-voting,firefighter-immigration,firefighter-religion,firefighter-science,firefighter-anger,firefighter-fear,firefighter-joy,firefighter-love,firefighter-sadness,firefighter-trust,neighbors(yours)-conservatives(political),neighbors(yours)-liberals(political),neighbors(yours)-healthcare,neighbors(yours)-voting,neighbors(yours)-immigration,neighbors(yours)-religion,neighbors(yours)-science,neighbors(yours)-anger,neighbors(yours)-fear,neighbors(yours)-joy,neighbors(yours)-love,neighbors(yours)-sadness,neighbors(yours)-trust,conservatives(political)-liberals(political),conservatives(political)-healthcare,conservatives(political)-voting,conservatives(political)-immigration,conservatives(political)-religion,conservatives(political)-science,conservatives(political)-anger,conservatives(political)-fear,conservatives(political)-joy,conservatives(political)-love,conservatives(political)-sadness,conservatives(political)-trust,liberals(political)-healthcare,liberals(political)-voting,liberals(political)-immigration,liberals(political)-religion,liberals(political)-science,liberals(political)-anger,liberals(political)-fear,liberals(political)-joy,liberals(political)-love,liberals(political)-sadness,liberals(political)-trust,healthcare-voting,healthcare-immigration,healthcare-religion,healthcare-science,healthcare-anger,healthcare-fear,healthcare-joy,healthcare-love,healthcare-sadness,healthcare-trust,voting-immigration,voting-religion,voting-science,voting-anger,voting-fear,voting-joy,voting-love,voting-sadness,voting-trust,immigration-religion,immigration-science,immigration-anger,immigration-fear,immigration-joy,immigration-love,immigration-sadness,immigration-trust,religion-science,religion-anger,religion-fear,religion-joy,religion-love,religion-sadness,religion-trust,science-anger,science-fear,science-joy,science-love,science-sadness,science-trust,anger-fear,anger-joy,anger-love,anger-sadness,anger-trust,fear-joy,fear-love,fear-sadness,fear-trust,joy-love,joy-sadness,joy-trust,love-sadness,love-trust,sadness-trust
0,0.0714285714285714,0.4285714285714286,0.2142857142857143,0.3571428571428571,0.4285714285714286,0.3571428571428571,0.7142857142857143,0.5,0.7857142857142857,0.2857142857142857,0.1428571428571429,0.5,0.5,0.8571428571428572,0.7857142857142857,0.7142857142857143,0.8571428571428572,0.5,0.3571428571428571,0.7857142857142857,0.5,0.8571428571428572,0.5,0.5,0.3571428571428571,0.2857142857142857,0.7142857142857143,0.7857142857142857,0.2142857142857143,0.3571428571428571,0.3571428571428571,0.7857142857142857,0.6428571428571428,0.7142857142857143,0.3571428571428571,0.8571428571428572,0.7857142857142857,0.7142857142857143,0.3571428571428571,0.3571428571428571,0.7857142857142857,0.2142857142857143,1.0,0.2857142857142857,0.0714285714285714,0.2142857142857143,0.2142857142857143,0.7857142857142857,0.2857142857142857,0.4285714285714286,0.5,0.5,0.7857142857142857,0.7142857142857143,0.2142857142857143,0.0714285714285714,0.2142857142857143,0.3571428571428571,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.9285714285714286,0.8571428571428572,0.3571428571428571,0.2857142857142857,0.8571428571428572,0.7857142857142857,0.2857142857142857,0.1428571428571429,0.2142857142857143,0.7857142857142857,0.3571428571428571,0.5,0.8571428571428572,0.2142857142857143,0.3571428571428571,0.8571428571428572,0.2142857142857143,0.7857142857142857,0.8571428571428572,0.7142857142857143,0.5,0.2142857142857143,0.3571428571428571,0.8571428571428572,0.2857142857142857,0.7857142857142857,0.8571428571428572,0.5,0.7857142857142857,0.5,1.0,0.7857142857142857,0.3571428571428571,0.1428571428571429,0.2857142857142857,0.8571428571428572,0.2857142857142857,0.4285714285714286,0.4285714285714286,0.5,0.9285714285714286,0.7857142857142857,0.2142857142857143,0.0714285714285714,1.0,1.0,0.7857142857142857,0.7857142857142857,1.0,0.8571428571428572,0.2142857142857143,0.8571428571428572,0.0,1.0,0.2142857142857143,1.0,0.0,0.5
1,0.0714285714285714,0.7857142857142857,0.1428571428571429,1.0,0.7142857142857143,0.3571428571428571,0.2142857142857143,0.2857142857142857,0.8571428571428572,0.0714285714285714,0.2142857142857143,1.0,1.0,0.2857142857142857,0.8571428571428572,1.0,0.8571428571428572,0.7857142857142857,0.1428571428571429,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.2857142857142857,0.9285714285714286,0.6428571428571428,0.3571428571428571,0.2857142857142857,0.8571428571428572,0.2142857142857143,0.5714285714285714,0.4285714285714286,0.3571428571428571,0.3571428571428571,0.2857142857142857,0.8571428571428572,0.9285714285714286,0.2142857142857143,0.1428571428571429,0.7142857142857143,0.6428571428571428,0.2142857142857143,0.6428571428571428,0.7857142857142857,0.9285714285714286,0.1428571428571429,0.4285714285714286,0.0,1.0,0.0,0.1428571428571429,0.9285714285714286,0.8571428571428572,0.2857142857142857,0.8571428571428572,0.2142857142857143,0.1428571428571429,0.2857142857142857,0.4285714285714286,0.0714285714285714,0.5714285714285714,0.7142857142857143,0.1428571428571429,0.2857142857142857,0.7857142857142857,0.1428571428571429,0.0714285714285714,0.2857142857142857,1.0,0.1428571428571429,0.1428571428571429,0.2142857142857143,0.6428571428571428,0.5,0.1428571428571429,0.1428571428571429,0.2142857142857143,0.1428571428571429,0.5714285714285714,0.2857142857142857,0.3571428571428571,0.2857142857142857,0.1428571428571429,0.2857142857142857,0.2857142857142857,0.8571428571428572,0.7857142857142857,0.7142857142857143,0.1428571428571429,0.2857142857142857,0.3571428571428571,0.5,0.7857142857142857,1.0,0.1428571428571429,0.0714285714285714,0.9285714285714286,0.7857142857142857,0.1428571428571429,1.0,0.7857142857142857,0.7857142857142857,0.1428571428571429,0.0,0.7142857142857143,0.1428571428571429,0.1428571428571429,1.0,1.0,0.4285714285714286,0.5,0.7142857142857143,0.7857142857142857,0.2142857142857143,0.9285714285714286,0.2142857142857143,0.8571428571428572,0.2857142857142857,0.7857142857142857,0.2857142857142857,0.7857142857142857
2,0.3571428571428571,0.3571428571428571,0.4285714285714286,0.2142857142857143,0.4285714285714286,0.5,0.3571428571428571,0.5,0.2142857142857143,0.2142857142857143,0.2857142857142857,0.8571428571428572,0.9285714285714286,0.8571428571428572,0.2857142857142857,0.5,0.5,0.8571428571428572,1.0,1.0,0.5,0.7857142857142857,0.5,0.5,0.5714285714285714,1.0,1.0,0.5,0.0714285714285714,0.4285714285714286,0.0714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571429,0.5,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.5,0.3571428571428571,0.2142857142857143,0.2857142857142857,0.1428571428571429,0.0714285714285714,0.1428571428571429,0.3571428571428571,0.4285714285714286,0.4285714285714286,0.5,0.3571428571428571,0.5,0.2142857142857143,0.0,0.0,0.0714285714285714,0.2142857142857143,0.2857142857142857,0.0714285714285714,0.2857142857142857,0.5,0.5,0.5,0.4285714285714286,0.2142857142857143,0.1428571428571429,0.4285714285714286,0.2142857142857143,0.4285714285714286,0.1428571428571429,0.7857142857142857,0.5,0.5,0.2142857142857143,0.0,0.5,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.3571428571428571,1.0,0.5,0.3571428571428571,0.7142857142857143,1.0,0.5,0.1428571428571429,0.5,0.8571428571428572,0.6428571428571428,0.7142857142857143,0.4285714285714286,0.4285714285714286,0.1428571428571429,0.0,0.0,0.5,0.1428571428571429,0.5714285714285714,0.3571428571428571,0.7857142857142857,1.0,0.5,0.3571428571428571,0.0714285714285714,0.3571428571428571,0.2857142857142857,0.2857142857142857,0.5,0.2142857142857143,0.4285714285714286,0.2142857142857143,0.2142857142857143,0.0714285714285714,1.0,0.3571428571428571,0.5714285714285714,0.0714285714285714,0.5
3,0.2142857142857143,0.1428571428571429,0.0714285714285714,1.0,0.9285714285714286,0.0714285714285714,0.2142857142857143,0.5,0.5,0.1428571428571429,0.0,0.5,0.8571428571428572,0.2857142857142857,0.2142857142857143,0.5,0.1428571428571429,1.0,0.1428571428571429,0.5,0.5,1.0,0.3571428571428571,0.7142857142857143,0.2142857142857143,0.3571428571428571,0.5,0.8571428571428572,0.0,0.0714285714285714,0.7857142857142857,0.5,0.2857142857142857,1.0,0.1428571428571429,0.8571428571428572,0.9285714285714286,0.5,0.3571428571428571,0.8571428571428572,0.8571428571428572,0.2857142857142857,1.0,0.1428571428571429,0.0,0.2142857142857143,0.0,1.0,0.7857142857142857,0.2142857142857143,0.2142857142857143,0.5,0.5,0.0714285714285714,0.0,0.0,0.0,1.0,0.0,0.0714285714285714,0.2142857142857143,0.8571428571428572,0.3571428571428571,0.0714285714285714,0.0714285714285714,0.1428571428571429,0.1428571428571429,0.3571428571428571,0.0,0.0714285714285714,0.2142857142857143,0.3571428571428571,1.0,0.3571428571428571,0.2142857142857143,0.0,0.8571428571428572,1.0,0.1428571428571429,0.2142857142857143,0.2857142857142857,1.0,0.2857142857142857,0.7142857142857143,0.1428571428571429,0.5,0.0,0.0,0.1428571428571429,0.5,0.1428571428571429,0.1428571428571429,1.0,0.2857142857142857,0.1428571428571429,0.0714285714285714,0.2142857142857143,0.2857142857142857,0.2142857142857143,0.9285714285714286,0.3571428571428571,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.1428571428571429,1.0,1.0,1.0,0.2857142857142857,1.0,0.2857142857142857,0.5,0.5,0.5,0.1428571428571429,1.0
4,0.1428571428571429,0.5,0.0,0.8571428571428572,1.0,0.8571428571428572,0.3571428571428571,1.0,1.0,0.0714285714285714,0.0714285714285714,1.0,1.0,0.2142857142857143,1.0,0.5,0.5,0.5,0.4285714285714286,0.5,1.0,1.0,0.3571428571428571,0.8571428571428572,0.5,0.7857142857142857,0.5,0.4285714285714286,0.2142857142857143,0.9285714285714286,0.2857142857142857,0.5,0.5,0.2142857142857143,0.5,0.5,0.9285714285714286,0.5,0.3571428571428571,0.5,0.5,0.1428571428571429,1.0,0.8571428571428572,0.0,0.4285714285714286,0.0714285714285714,1.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.9285714285714286,0.3571428571428571,0.0,0.3571428571428571,0.8571428571428572,0.5,1.0,0.8571428571428572,0.4285714285714286,0.4285714285714286,0.8571428571428572,0.2142857142857143,0.2142857142857143,0.7142857142857143,1.0,0.0,1.0,0.5,0.5,0.2857142857142857,0.4285714285714286,0.1428571428571429,0.2142857142857143,1.0,0.5,0.7857142857142857,0.7857142857142857,0.2142857142857143,0.5,0.8571428571428572,0.1428571428571429,0.8571428571428572,0.5,0.6428571428571428,0.1428571428571429,0.2857142857142857,0.5,0.7142857142857143,0.5,1.0,0.2142857142857143,0.0714285714285714,0.8571428571428572,0.1428571428571429,0.3571428571428571,0.3571428571428571,0.5,1.0,0.4285714285714286,0.2857142857142857,1.0,0.3571428571428571,0.0714285714285714,0.5,0.9285714285714286,0.2142857142857143,0.8571428571428572,0.8571428571428572,1.0,0.7142857142857143,0.7857142857142857,0.0,1.0,0.0,0.6428571428571428,0.0,0.7857142857142857
5,0.0,0.3571428571428571,0.1428571428571429,0.7857142857142857,0.5,0.3571428571428571,0.1428571428571429,0.2857142857142857,0.5,0.1428571428571429,0.0,1.0,0.8571428571428572,0.6428571428571428,0.7857142857142857,0.5,0.2142857142857143,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3571428571428571,0.5,0.3571428571428571,0.5,0.0,0.1428571428571429,0.5,0.5,0.2142857142857143,0.5,0.1428571428571429,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.5,0.5,0.5,0.6428571428571428,1.0,0.8571428571428572,0.3571428571428571,1.0,0.0,1.0,0.0,0.0,0.6428571428571428,1.0,0.2857142857142857,1.0,0.0,0.0,0.2857142857142857,0.5,0.0,0.3571428571428571,0.7142857142857143,0.2857142857142857,0.0,0.8571428571428572,0.2142857142857143,0.3571428571428571,0.5,0.8571428571428572,0.0,0.5,0.1428571428571429,0.7857142857142857,0.5,0.5,0.5,0.2142857142857143,0.5,0.2142857142857143,0.8571428571428572,0.6428571428571428,0.0,0.2142857142857143,0.5,0.2142857142857143,0.7857142857142857,0.5,0.3571428571428571,0.3571428571428571,0.5,0.2857142857142857,0.6428571428571428,0.3571428571428571,1.0,0.2142857142857143,0.0,0.8571428571428572,0.7857142857142857,0.1428571428571429,0.5,0.8571428571428572,1.0,0.5,0.5,0.5,0.2857142857142857,0.0,1.0,1.0,0.1428571428571429,1.0,1.0,1.0,0.1428571428571429,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6,0.0714285714285714,0.4285714285714286,0.6428571428571428,0.5,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5,0.4285714285714286,0.2142857142857143,0.5,0.5,0.5,0.1428571428571429,0.4285714285714286,0.7142857142857143,0.5,0.6428571428571428,0.5,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.6428571428571428,0.5,0.5,0.8571428571428572,0.1428571428571429,0.8571428571428572,0.1428571428571429,0.4285714285714286,0.3571428571428571,0.4285714285714286,0.2142857142857143,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7857142857142857,0.1428571428571429,0.9285714285714286,0.6428571428571428,0.2857142857142857,0.0714285714285714,0.2142857142857143,0.5,0.3571428571428571,0.2142857142857143,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.5,0.4285714285714286,0.5,0.6428571428571428,0.4285714285714286,0.7857142857142857,0.6428571428571428,0.2857142857142857,0.3571428571428571,0.5714285714285714,0.5,0.3571428571428571,0.2857142857142857,0.5,0.0714285714285714,0.5,0.7857142857142857,0.7142857142857143,0.5,0.2857142857142857,0.3571428571428571,0.2857142857142857,0.5,0.3571428571428571,0.3571428571428571,0.7857142857142857,0.2142857142857143,0.3571428571428571,0.7142857142857143,0.5,0.3571428571428571,0.5,0.2857142857142857,0.0714285714285714,0.2857142857142857,0.5,0.6428571428571428,0.7857142857142857,0.8571428571428572,0.6428571428571428,0.5,0.2142857142857143,0.2857142857142857,0.5,0.3571428571428571,0.7142857142857143,0.4285714285714286,0.5,0.5,0.5,0.7142857142857143,0.1428571428571429,0.8571428571428572,0.9285714285714286,0.2142857142857143,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.0714285714285714,0.8571428571428572,0.1428571428571429,0.9285714285714286,0.0714285714285714,0.9285714285714286,0.1428571428571429,0.8571428571428572
7,0.2142857142857143,0.1428571428571429,0.2857142857142857,0.6428571428571428,0.5,0.4285714285714286,0.6428571428571428,0.5,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.1428571428571429,0.2857142857142857,0.7857142857142857,0.0714285714285714,0.2857142857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4285714285714286,0.2142857142857143,0.3571428571428571,0.5,0.1428571428571429,0.2142857142857143,0.1428571428571429,0.5,0.0714285714285714,0.5,0.3571428571428571,0.2142857142857143,1.0,0.8571428571428572,0.0,0.0714285714285714,0.5,0.1428571428571429,0.8571428571428572,0.2857142857142857,0.0714285714285714,0.3571428571428571,0.2142857142857143,0.3571428571428571,0.7142857142857143,0.9285714285714286,0.2857142857142857,0.2857142857142857,0.5,0.2142857142857143,0.2857142857142857,0.1428571428571429,0.4285714285714286,0.5,0.2142857142857143,0.5714285714285714,0.7142857142857143,0.3571428571428571,0.3571428571428571,0.5,0.3571428571428571,0.5,0.2857142857142857,0.5,0.0,0.6428571428571428,0.4285714285714286,0.6428571428571428,0.5,0.5,0.2857142857142857,0.1428571428571429,0.2142857142857143,0.5,1.0,0.9285714285714286,0.0,0.1428571428571429,0.5,0.0,0.5,0.5,0.6428571428571428,0.4285714285714286,0.3571428571428571,0.3571428571428571,0.7857142857142857,0.5714285714285714,0.2857142857142857,0.8571428571428572,0.9285714285714286,0.0,0.1428571428571429,0.5,0.1428571428571429,0.5,0.8571428571428572,0.5,0.1428571428571429,0.7142857142857143,0.2857142857142857,0.4285714285714286,0.8571428571428572,0.5714285714285714,0.6428571428571428,0.9285714285714286,0.9285714285714286,0.6428571428571428,0.6428571428571428,0.6428571428571428,0.1428571428571429,1.0,0.3571428571428571,0.5714285714285714,0.0714285714285714,0.7142857142857143
8,0.2857142857142857,0.5,0.4285714285714286,0.6428571428571428,0.5,0.5,0.4285714285714286,0.5,0.5,0.5714285714285714,0.6428571428571428,0.5,0.5,0.5714285714285714,0.2857142857142857,0.5,0.5,0.5,0.3571428571428571,0.5,0.5,0.5,0.3571428571428571,0.5,0.2857142857142857,0.3571428571428571,0.4285714285714286,0.5714285714285714,0.2857142857142857,0.6428571428571428,0.3571428571428571,0.5,0.5,0.5,0.3571428571428571,0.5,0.6428571428571428,0.5,0.4285714285714286,0.5,0.5,0.2857142857142857,0.8571428571428572,0.4285714285714286,0.2857142857142857,0.3571428571428571,0.2857142857142857,0.5,0.5714285714285714,0.5,0.5,0.5,0.5,0.4285714285714286,0.3571428571428571,0.1428571428571429,0.2857142857142857,0.6428571428571428,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.5,0.5,0.5,0.3571428571428571,0.5,0.5,0.5,0.0714285714285714,0.5,0.6428571428571428,0.2857142857142857,0.3571428571428571,0.6428571428571428,0.1428571428571429,0.2857142857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2142857142857143,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,0.5,0.5,0.6428571428571428,0.6428571428571428,0.2142857142857143,0.2142857142857143,0.5714285714285714,0.2857142857142857,0.5,0.5,0.5,0.5,0.5,0.2142857142857143,0.3571428571428571,0.8571428571428572,0.8571428571428572,0.4285714285714286,0.7142857142857143,0.6428571428571428,0.7857142857142857,0.3571428571428571,0.7142857142857143,0.2142857142857143,0.9285714285714286,0.2857142857142857,0.7142857142857143,0.0714285714285714,0.7857142857142857
9,0.4285714285714286,0.5,0.6428571428571428,0.3571428571428571,0.5,0.2142857142857143,0.2857142857142857,0.6428571428571428,0.5,0.2857142857142857,0.4285714285714286,0.6428571428571428,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.5,0.3571428571428571,0.2142857142857143,0.2857142857142857,0.5,0.5,0.5,0.3571428571428571,0.8571428571428572,0.8571428571428572,0.1428571428571429,0.1428571428571429,1.0,0.0,0.1428571428571429,0.9285714285714286,0.5,0.4285714285714286,0.7857142857142857,0.1428571428571429,0.5,1.0,1.0,0.2857142857142857,0.2142857142857143,0.7857142857142857,0.0,0.6428571428571428,0.5714285714285714,0.0714285714285714,0.3571428571428571,0.1428571428571429,0.5,0.7142857142857143,0.8571428571428572,0.5,0.4285714285714286,0.6428571428571428,0.2142857142857143,0.4285714285714286,0.0714285714285714,0.5714285714285714,0.7857142857142857,0.3571428571428571,0.4285714285714286,0.7142857142857143,0.5,0.6428571428571428,0.7142857142857143,0.7857142857142857,0.0714285714285714,0.5,0.4285714285714286,0.1428571428571429,0.9285714285714286,0.8571428571428572,0.2857142857142857,0.1428571428571429,0.3571428571428571,0.4285714285714286,0.3571428571428571,0.5,0.5,1.0,1.0,0.4285714285714286,0.3571428571428571,0.1428571428571429,0.5714285714285714,0.6428571428571428,0.5,0.4285714285714286,0.6428571428571428,0.7142857142857143,0.7142857142857143,0.2142857142857143,0.5714285714285714,0.5,0.8571428571428572,1.0,0.1428571428571429,0.0,0.7142857142857143,0.1428571428571429,0.9285714285714286,0.7857142857142857,0.1428571428571429,0.1428571428571429,0.8571428571428572,0.3571428571428571,0.0,1.0,1.0,0.3571428571428571,1.0,1.0,1.0,0.1428571428571429,0.7857142857142857,0.0,1.0,0.2142857142857143,1.0,0.0,0.5
10,0.0714285714285714,0.2142857142857143,0.2857142857142857,0.3571428571428571,0.0714285714285714,0.7142857142857143,0.0714285714285714,0.9285714285714286,0.5,0.0714285714285714,0.1428571428571429,0.0714285714285714,0.0714285714285714,0.5,0.0714285714285714,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,0.5,0.1428571428571429,0.9285714285714286,0.3571428571428571,0.3571428571428571,0.5714285714285714,0.1428571428571429,0.2857142857142857,0.7857142857142857,0.0714285714285714,0.3571428571428571,0.0,0.2857142857142857,0.1428571428571429,0.0714285714285714,0.3571428571428571,0.4285714285714286,0.2142857142857143,0.2857142857142857,0.1428571428571429,0.0714285714285714,0.5,0.0714285714285714,0.1428571428571429,0.0714285714285714,0.0714285714285714,0.2142857142857143,0.9285714285714286,0.5714285714285714,0.7857142857142857,0.2857142857142857,0.3571428571428571,0.2142857142857143,0.8571428571428572,0.0714285714285714,0.2142857142857143,0.1428571428571429,0.8571428571428572,0.5,0.5,0.2142857142857143,0.5714285714285714,0.1428571428571429,0.2142857142857143,0.6428571428571428,0.2142857142857143,0.1428571428571429,0.7142857142857143,0.5,0.0,0.7142857142857143,0.7142857142857143,0.1428571428571429,0.0714285714285714,0.2857142857142857,0.2142857142857143,0.0714285714285714,0.9285714285714286,0.7142857142857143,0.7857142857142857,0.3571428571428571,0.0714285714285714,0.0714285714285714,0.7142857142857143,0.0714285714285714,0.6428571428571428,0.7142857142857143,0.0714285714285714,0.0714285714285714,0.4285714285714286,0.2142857142857143,0.4285714285714286,0.2857142857142857,0.5,0.2142857142857143,0.2142857142857143,0.0714285714285714,0.0714285714285714,0.8571428571428572,0.1428571428571429,0.5,0.7857142857142857,0.1428571428571429,0.0714285714285714,0.9285714285714286,0.1428571428571429,0.0714285714285714,0.1428571428571429,0.4285714285714286,0.1428571428571429,0.2142857142857143,0.5,0.2142857142857143,0.0714285714285714,0.2142857142857143,0.0714285714285714,0.0714285714285714,0.1428571428571429,0.0714285714285714,0.0714285714285714,0.8571428571428572
11,0.5,0.5,0.6428571428571428,0.5,0.4285714285714286,0.3571428571428571,0.2142857142857143,0.5714285714285714,0.7857142857142857,0.2142857142857143,0.0714285714285714,0.5714285714285714,0.4285714285714286,0.7142857142857143,0.4285714285714286,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.0714285714285714,0.7142857142857143,0.8571428571428572,0.7142857142857143,0.6428571428571428,0.7857142857142857,0.2857142857142857,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.2142857142857143,0.5714285714285714,0.1428571428571429,0.7142857142857143,0.5,0.6428571428571428,0.2857142857142857,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.3571428571428571,0.5,0.4285714285714286,0.2142857142857143,0.3571428571428571,0.5,0.6428571428571428,0.6428571428571428,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.2142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.4285714285714286,0.5714285714285714,0.9285714285714286,0.1428571428571429,0.1428571428571429,0.7857142857142857,0.2142857142857143,0.6428571428571428,0.4285714285714286,0.7142857142857143,0.3571428571428571,0.5714285714285714,0.3571428571428571,0.5,0.2142857142857143,0.5,0.0714285714285714,0.3571428571428571,0.7142857142857143,0.8571428571428572,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.3571428571428571,0.6428571428571428,0.0714285714285714,0.5,0.7857142857142857,0.5,0.2142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.4285714285714286,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.1428571428571429,0.3571428571428571,0.7142857142857143,0.1428571428571429,0.7142857142857143,0.1428571428571429,0.5714285714285714,0.7142857142857143,0.7857142857142857,0.0714285714285714,0.3571428571428571,0.7142857142857143,0.7857142857142857,0.1428571428571429,0.6428571428571428,0.9285714285714286,0.6428571428571428,0.1428571428571429,0.7142857142857143,0.0714285714285714,0.6428571428571428,0.0714285714285714,0.7142857142857143,0.2142857142857143,0.6428571428571428
12,0.5,0.5,0.5,0.5,0.8571428571428572,0.6428571428571428,0.7857142857142857,0.2857142857142857,0.3571428571428571,0.9285714285714286,0.0714285714285714,0.8571428571428572,0.5,0.2857142857142857,0.8571428571428572,0.2142857142857143,0.5,0.9285714285714286,0.2857142857142857,0.5,0.9285714285714286,0.5,0.2142857142857143,0.5,0.5,0.5,0.8571428571428572,0.9285714285714286,0.0714285714285714,0.8571428571428572,0.5,0.3571428571428571,0.5,0.5,0.1428571428571429,0.9285714285714286,0.5,0.9285714285714286,0.2857142857142857,0.1428571428571429,0.8571428571428572,0.3571428571428571,0.9285714285714286,0.7857142857142857,0.5,0.9285714285714286,0.5,0.0714285714285714,0.5,0.9285714285714286,0.3571428571428571,0.3571428571428571,0.9285714285714286,0.0714285714285714,0.5,0.0714285714285714,0.3571428571428571,0.5,0.5,0.4285714285714286,0.7857142857142857,0.5,0.8571428571428572,0.8571428571428572,0.7857142857142857,0.9285714285714286,0.5,0.3571428571428571,0.0714285714285714,0.9285714285714286,0.2857142857142857,0.2142857142857143,0.2857142857142857,0.9285714285714286,0.2857142857142857,0.5,0.5,0.5,0.8571428571428572,0.5,0.1428571428571429,0.5,0.7142857142857143,0.1428571428571429,0.2142857142857143,0.5,0.2857142857142857,0.9285714285714286,0.2142857142857143,0.2857142857142857,0.3571428571428571,0.8571428571428572,0.9285714285714286,0.5,0.1428571428571429,0.0714285714285714,0.1428571428571429,0.9285714285714286,0.2142857142857143,0.5,0.2857142857142857,0.9285714285714286,0.0714285714285714,0.9285714285714286,0.4285714285714286,0.0714285714285714,0.9285714285714286,0.9285714285714286,0.2857142857142857,0.5,0.9285714285714286,0.9285714285714286,0.1428571428571429,0.5,0.0714285714285714,0.9285714285714286,0.0714285714285714,0.9285714285714286,0.0714285714285714,0.7142857142857143
13,0.2142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428572,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.5,0.7857142857142857,0.4285714285714286,0.6428571428571428,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.7857142857142857,0.9285714285714286,0.9285714285714286,0.7857142857142857,0.9285714285714286,0.9285714285714286,0.8571428571428572,0.6428571428571428,0.8571428571428572,0.2142857142857143,0.8571428571428572,0.7857142857142857,0.5714285714285714,0.8571428571428572,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.8571428571428572,0.7857142857142857,0.4285714285714286,0.4285714285714286,0.9285714285714286,0.4285714285714286,0.9285714285714286,0.2142857142857143,0.2857142857142857,0.2142857142857143,0.2857142857142857,0.8571428571428572,0.7142857142857143,0.6428571428571428,0.7857142857142857,0.9285714285714286,0.7142857142857143,0.7857142857142857,0.4285714285714286,0.2142857142857143,0.1428571428571429,0.3571428571428571,0.5,0.9285714285714286,0.8571428571428572,0.8571428571428572,0.7142857142857143,0.9285714285714286,0.7857142857142857,0.4285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.5,0.5,0.9285714285714286,0.7142857142857143,0.8571428571428572,0.8571428571428572,0.2142857142857143,0.8571428571428572,0.7857142857142857,0.3571428571428571,0.9285714285714286,0.7142857142857143,0.8571428571428572,0.9285714285714286,0.9285714285714286,0.2142857142857143,0.8571428571428572,0.2142857142857143,0.5714285714285714,0.9285714285714286,0.8571428571428572,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.5714285714285714,0.9285714285714286,0.8571428571428572,0.9285714285714286,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.5714285714285714,0.5714285714285714,0.4285714285714286,0.9285714285714286,0.2142857142857143,0.0714285714285714,0.6428571428571428,0.7142857142857143,0.2857142857142857,0.4285714285714286,0.7142857142857143,0.7857142857142857,0.2857142857142857,0.3571428571428571,0.1428571428571429,0.9285714285714286,0.7857142857142857,0.7142857142857143,0.4285714285714286,0.7142857142857143
